"frequency = monthly issuance","frequency = issuance after transaction","frequency = weekly issuance","gender = f","gender = m","Id","Predicted"
"0","1","0","1","0","6173",0.5347464819575337
"1","0","0","1","0","7115",0.932868304308042
"1","0","0","0","1","6095",0.6651982991316963
"1","0","0","1","0","7250",0.8034443402254732
"1","0","0","0","1","5358",0.8669991683148606
"1","0","0","1","0","6875",0.8008803441400403
"1","0","0","1","0","5878",0.6662987262162531
"1","0","0","0","1","6346",0.7311911147533807
"0","0","1","1","0","5210",0.6672154209185005
"1","0","0","1","0","5110",0.731510385206433
"1","0","0","0","1","6037",0.8001372678475926
"1","0","0","1","0","5942",0.6030448293593272
"1","0","0","1","0","6386",0.7354205791389549
"0","1","0","0","1","6824",0.7321229316768745
"1","0","0","1","0","7122",0.5355087906269497
"1","0","0","0","1","6621",0.9333439428656568
"1","0","0","1","0","6913",0.7324282193701754
"1","0","0","0","1","7286",0.6015435731494466
"1","0","0","0","1","5830",0.6693893106543204
"1","0","0","0","1","5895",0.734746076329784
"1","0","0","1","0","6665",0.7317908328777859
"0","0","1","1","0","5041",0.6693088887811836
"1","0","0","1","0","5718",0.8706035858759616
"1","0","0","0","1","6908",0.6027249576879097
"0","0","1","1","0","5363",0.5302291268737346
"1","0","0","0","1","7253",0.7999414278208357
"1","0","0","1","0","5486",0.6650512958730991
"1","0","0","0","1","5634",0.8676143012157719
"1","0","0","1","0","6677",0.7325816814864866
"1","0","0","0","1","6118",0.6672090625719337
"1","0","0","0","1","5643",0.7998300912518914
"0","0","1","0","1","6793",0.603406010989757
"1","0","0","0","1","6871",0.6013342745623272
"1","0","0","1","0","6350",0.530483688505785
"1","0","0","0","1","6959",0.7328070376423925
"1","0","0","0","1","5281",0.731675480137006
"1","0","0","1","0","6075",0.7310000802402274
"1","0","0","1","0","5174",0.6699851429636041
"0","0","1","1","0","5532",0.5351433771331593
"0","1","0","1","0","5039",0.5987605340164966
"1","0","0","0","1","6938",0.536178789192139
"1","0","0","1","0","6055",0.6699386331111228
"0","1","0","1","0","5850",0.6017485570237253
"1","0","0","0","1","6353",0.8028256927653117
"1","0","0","1","0","6014",0.6010817581988414
"1","0","0","1","0","5531",0.6635168542274863
"1","0","0","0","1","6544",0.7315540706598314
"1","0","0","0","1","7088",0.6012706788978427
"0","0","1","1","0","7147",0.5340003554900815
"0","0","1","0","1","5398",0.8000729535279525
"1","0","0","1","0","5117",0.7999293311448931
"1","0","0","0","1","5134",0.800341698455483
"1","0","0","0","1","4988",0.5330815662860219
"1","0","0","1","0","5868",0.866729639595395
"1","0","0","1","0","5992",0.7328967260311853
"1","0","0","0","1","5682",0.5983182009834277
"1","0","0","0","1","7201",0.5354111264356358
"1","0","0","1","0","5103",0.9345413176140942
"1","0","0","1","0","6878",0.8665080019724549
"1","0","0","1","0","6142",0.6626119757138631
"1","0","0","0","1","5446",0.9333367885934188
"1","0","0","1","0","5086",0.6639250453299306
"1","0","0","1","0","6605",0.7337843716184588
"1","0","0","0","1","5569",0.6651686005345385
"1","0","0","0","1","7046",0.801956181559032
"1","0","0","1","0","7050",0.5317333658627069
"1","0","0","0","1","6541",0.6702330909474049
"1","0","0","1","0","5447",0.665642578484052
"1","0","0","0","1","7110",0.8637892833764014
"1","0","0","1","0","6655",0.5355055090490491
"1","0","0","0","1","5584",0.8016119037019708
"1","0","0","0","1","6607",0.6700943337276032
"1","0","0","1","0","6028",0.5319250579686569
"1","0","0","0","1","7087",0.9329954455272818
"1","0","0","1","0","5420",0.6664987254797239
"1","0","0","1","0","5773",0.6639862181148688
"1","0","0","1","0","6486",0.669434810951788
"1","0","0","0","1","5758",0.5308448302965534
"1","0","0","1","0","5419",0.668474979983668
"1","0","0","1","0","6633",0.6682084290705256
"1","0","0","0","1","6104",0.7353228222521947
"1","0","0","0","1","5719",0.5315802595283748
"1","0","0","1","0","5862",0.7314899821939247
"1","0","0","1","0","5377",0.80011837183491
"1","0","0","0","1","5817",0.7313467548327037
"1","0","0","0","1","4986",0.7327567317440727
"1","0","0","0","1","5207",0.799710389849142
"1","0","0","0","1","5360",0.5320016593201295
"0","0","1","1","0","5779",0.7332085201945551
"1","0","0","1","0","6934",0.802504125322706
"1","0","0","1","0","6377",0.870257788509057
"1","0","0","1","0","6942",0.868670367653218
"1","0","0","1","0","6255",0.6667033707485376
"1","0","0","1","0","6763",0.9324170486452596
